,Manual_Genes
AL606970.4,False
AL607028.1,False
AL611929.1,False
AL626787.1,False
AL627171.1,False
AL627171.2,False
AL627230.1,False
AL627232.1,False
AL627308.3,False
AL627309.1,False
AL627309.3,False
AL627309.4,False
AL627309.5,False
AL627422.2,False
AL645465.1,False
AL645504.1,False
AL645568.1,False
AL645608.1,False
AL645608.2,False
AL645608.3,False
AL645608.5,False
AL645608.7,False
AL645608.8,False
AL645608.9,False
AL645634.2,False
AL645728.1,False
AL645929.2,False
AL645933.2,False
AL645933.3,False
AL645937.2,False
AL645937.4,False
AL645939.4,False
AL645939.5,False
AL645940.1,False
AL645941.3,False
AL645944.2,False
AL646090.1,False
AL662791.1,False
AL662791.2,False
AL662796.1,False
AL662797.1,False
AL662844.3,False
AL662844.4,False
AL662860.1,False
AL662884.3,False
AL662884.4,False
AL662884.5,False
AL662889.1,False
AL662890.1,False
AL662907.3,False
AL663074.1,False
AL669831.2,False
AL669831.5,False
AL669841.1,False
AL669970.1,False
AL669970.3,False
AL670729.1,False
AL670729.2,False
AL670729.3,False
AL671710.1,False
AL672032.1,False
AL672277.1,False
AL672291.1,False
AL672310.1,False
AL683807.1,False
AL683807.2,False
AL683813.1,False
AL683887.1,False
AL691403.1,False
AL691403.2,False
AL691420.1,False
AL691432.2,False
AL691432.4,False
AL691447.2,False
AL691482.3,False
AL691515.1,False
AL691515.2,False
AL691520.1,False
AL713851.1,False
AL713852.1,False
AL713852.2,False
AL713998.1,False
AL731533.2,False
AL731533.3,False
AL731537.1,False
AL731553.1,False
AL731557.1,False
AL731559.1,False
AL731563.2,False
AL731563.3,False
AL731566.1,False
AL731566.2,False
AL731566.3,False
AL731567.1,False
AL731568.1,False
AL731569.1,False
AL731571.1,False
AL731574.1,False
AL731575.1,False
AL731577.1,False
AL731577.2,False
AL731661.1,False
AL731684.1,False
AL731702.1,False
AL731769.2,False
AL732292.2,False
AL732314.4,False
AL732314.6,False
AL732323.1,False
AL732437.2,False
AL732437.3,False
AL732509.1,False
AL772363.1,False
AL773604.8,False
AL805961.1,False
AL807740.1,False
AL807752.2,False
AL807752.4,False
AL807752.5,False
AL807757.1,False
AL807757.2,False
AL807761.4,False
AL807776.1,False
AL831711.1,False
AL844170.1,False
AL844175.1,False
AL844892.1,False
AL844892.2,False
AL844908.1,False
AL844908.2,False
AL845311.1,False
AL845331.2,False
AL845472.1,False
AL928654.1,False
AL928654.2,False
AL928654.3,False
AL928742.12,False
AL928768.3,False
AL928921.2,False
AL928970.1,False
AL929091.1,False
AL929236.1,False
AL929288.1,False
AL929472.2,False
AL929472.3,False
AL935212.1,False
AL953854.2,False
AL953897.1,False
AL954642.1,False
ALAD,False
ALAS1,True
ALAS2,False
ALB,True
ALCAM,True
ALDH16A1,False
ALDH18A1,False
ALDH1A1,True
ALDH1A2,False
ALDH1A3,False
ALDH1B1,False
ALDH1L1,False
ALDH1L1-AS1,False
ALDH1L1-AS2,False
ALDH1L2,False
ALDH2,True
ALDH3A1,False
ALDH3A2,False
ALDH3B1,False
ALDH3B2,False
ALDH4A1,False
ALDH5A1,False
ALDH6A1,False
ALDH7A1,False
ALDH8A1,False
ALDH9A1,False
ALDOA,False
ALDOB,True
ALDOC,False
ALG1,False
ALG10,False
ALG10B,False
ALG11,False
ALG12,False
ALG13,False
ALG13-AS1,False
ALG14,False
ALG1L,False
ALG1L2,False
ALG1L9P,False
ALG2,False
ALG3,False
ALG5,False
ALG6,False
ALG8,False
ALG9,False
ALG9-IT1,False
ALK,False
ALKAL1,False
ALKAL2,False
ALKBH1,False
ALKBH2,False
ALKBH3,False
ALKBH3-AS1,False
ALKBH4,False
ALKBH5,False
ALKBH6,False
ALKBH7,False
ALKBH8,False
ALLC,False
ALMS1,False
ALMS1-IT1,False
ALOX12,False
ALOX12-AS1,False
ALOX12B,False
ALOX15,False
ALOX15B,False
ALOX5,True
ALOX5AP,True
ALOXE3,False
ALPG,False
ALPI,False
ALPK1,False
ALPK2,False
ALPK3,False
ALPL,False
ALPP,False
ALPPL2,False
ALS2,False
ALS2CL,True
ALS2CR11,False
ALS2CR12,False
ALX1,False
ALX3,False
ALX4,False
ALYREF,False
AMACR,False
AMBN,False
AMBP,True
AMBRA1,False
AMD1,False
AMDHD1,False
AMDHD2,False
AMELX,False
AMELY,False
AMER1,False
AMER2,False
AMER3,False
AMFR,False
AMH,False
AMHR2,False
AMICA1,False
AMIGO1,False
AMIGO2,False
AMIGO3,False
AMMECR1,False
AMMECR1-IT1,False
AMMECR1L,False
AMN,True
AMN1,False
AMOT,False
AMOTL1,True
AMOTL2,False
AMPD1,False
AMPD2,False
AMPD3,False
AMPH,False
AMT,False
AMTN,False
AMY1A,False
AMY1B,False
AMY1C,False
AMY2A,True
AMY2B,True
AMZ1,False
AMZ2,False
ANAPC1,False
ANAPC10,False
ANAPC11,False
ANAPC13,False
ANAPC15,False
ANAPC16,False
ANAPC2,False
ANAPC4,False
ANAPC5,False
ANAPC7,False
ANG,False
ANGEL1,False
ANGEL2,False
ANGPT1,False
ANGPT2,True
ANGPT4,False
ANGPTL1,False
ANGPTL2,False
ANGPTL3,False
ANGPTL4,False
ANGPTL5,False
ANGPTL6,False
ANGPTL7,False
ANGPTL8,False
ANHX,False
ANK1,False
ANK2,True
ANK3,True
ANK3-DT,False
ANKAR,False
ANKDD1A,False
ANKDD1B,False
ANKEF1,False
ANKFN1,False
ANKFY1,False
ANKH,True
ANKHD1,False
ANKHD1-EIF4EBP3,False
ANKIB1,False
ANKK1,False
ANKLE1,False
ANKLE2,False
ANKMY1,False
ANKMY2,False
ANKRA2,False
ANKRD1,False
ANKRD10,False
ANKRD10-IT1,False
ANKRD11,True
ANKRD12,False
ANKRD13A,False
ANKRD13B,False
ANKRD13C,False
ANKRD13D,False
ANKRD16,False
ANKRD17,False
ANKRD18A,False
ANKRD18A-1,False
ANKRD18B,False
ANKRD2,False
ANKRD20A1,False
ANKRD20A2,False
ANKRD20A3,False
ANKRD20A4,False
ANKRD20A8P,False
ANKRD22,False
ANKRD23,False
ANKRD24,False
ANKRD26,False
ANKRD27,False
ANKRD28,True
ANKRD29,False
ANKRD30A,False
ANKRD30B,False
ANKRD30BL,False
ANKRD31,False
ANKRD32,False
ANKRD33,False
ANKRD33B,False
ANKRD33B-AS1,False
ANKRD34A,False
ANKRD34B,False
ANKRD34C,False
ANKRD34C-AS1,False
ANKRD35,False
ANKRD36,False
ANKRD36B,False
ANKRD36C,True
ANKRD37,True
ANKRD39,False
ANKRD40,False
ANKRD40CL,False
ANKRD42,False
ANKRD44,False
ANKRD44-IT1,False
ANKRD45,False
ANKRD46,False
ANKRD49,False
ANKRD50,False
ANKRD52,False
ANKRD53,False
ANKRD54,False
ANKRD55,False
ANKRD6,False
ANKRD60,False
ANKRD61,False
ANKRD62,False
ANKRD65,False
ANKRD66,False
ANKRD7,False
ANKRD9,False
ANKS1A,False
ANKS1B,False
ANKS3,False
ANKS4B,False
ANKS6,False
ANKUB1,False
ANKZF1,False
ANLN,False
ANO1,True
ANO1-AS1,False
ANO1-AS2,False
ANO10,False
ANO2,False
ANO3,False
ANO4,False
ANO5,False
ANO6,False
ANO7,False
ANO8,False
ANO9,False
ANOS1,False
ANP32A,False
ANP32B,False
ANP32D,False
ANP32E,False
ANPEP,True
ANTKMT,False
ANTXR1,True
ANTXR2,True
ANTXRL,False
ANXA1,True
ANXA10,True
ANXA11,False
ANXA13,False
ANXA2,True
ANXA2R,False
ANXA3,True
ANXA4,True
ANXA5,False
ANXA6,True
ANXA7,False
ANXA8,False
ANXA8L1,False
ANXA8L2,True
ANXA9,False
AOAH,True
AOC1,False
AOC2,False
AOC3,False
AOPEP,False
AOX1,False
AP000146.1,False
AP000221.1,False
AP000223.1,False
AP000229.1,False
AP000230.1,False
AP000238.1,False
AP000240.1,False
AP000251.1,False
AP000251.3,False
AP000253.1,False
AP000254.1,False
AP000254.2,False
AP000254.8,False
AP000255.1,False
AP000255.6,False
AP000265.1,False
AP000266.1,False
AP000275.65,False
AP000281.2,False
AP000282.1,False
AP000290.1,False
AP000295.10,False
AP000302.1,False
AP000304.12,False
AP000317.1,False
AP000318.2,False
AP000320.1,False
AP000320.6,False
AP000322.1,False
AP000322.2,False
AP000322.53,False
AP000330.8,False
AP000331.1,False
AP000343.2,False
AP000344.3,False
AP000345.1,False
AP000345.2,False
AP000349.1,False
AP000350.10,False
AP000350.4,False
AP000350.5,False
AP000350.6,False
AP000350.7,False
AP000355.1,False
AP000355.2,False
AP000356.2,False
AP000365.1,False
AP000402.1,False
AP000424.1,False
AP000424.2,False
AP000426.1,False
AP000438.1,False
AP000438.2,False
AP000439.1,False
AP000439.2,False
AP000439.3,False
AP000442.1,False
AP000442.2,False
AP000442.4,False
AP000446.1,False
AP000459.1,False
AP000459.2,False
AP000462.1,False
AP000462.2,False
AP000462.3,False
AP000470.1,False
AP000472.1,False
AP000473.5,False
AP000473.8,False
AP000476.1,False
AP000477.1,False
AP000487.1,False
AP000487.2,False
AP000487.4,False
AP000487.5,False
AP000487.6,False
AP000525.1,False
AP000527.1,False
AP000542.2,False
AP000542.3,False
AP000547.3,False
AP000550.1,False
AP000552.1,False
AP000553.2,False
AP000553.3,False
AP000553.8,False
AP000561.1,False
AP000569.1,False
AP000569.9,False
AP000593.3,False
AP000593.4,False
AP000640.1,False
AP000640.10,False
AP000640.2,False
AP000654.1,False
AP000654.4,False
AP000662.1,False
AP000679.1,False
AP000679.2,False
AP000688.1,False
AP000688.2,False
AP000688.29,False
AP000688.3,False
AP000688.4,False
AP000688.8,False
AP000692.1,False
AP000692.10,False
AP000692.2,False
AP000695.1,False
AP000695.2,False
AP000695.4,False
AP000695.6,False
AP000696.1,False
AP000696.2,False
AP000697.1,False
AP000704.1,False
AP000704.5,False
AP000708.1,False
AP000721.2,False
AP000753.1,False
AP000753.2,False
AP000755.1,False
AP000755.2,False
AP000757.1,False
AP000757.2,False
AP000759.1,False
AP000763.3,False
AP000763.4,False
AP000766.1,False
AP000769.1,False
AP000769.2,False
AP000769.6,False
AP000769.7,False
AP000777.1,False
AP000777.2,False
AP000777.3,False
AP000779.1,False
AP000781.1,False
AP000783.1,False
AP000785.1,False
AP000785.2,False
AP000786.1,False
AP000787.1,False
AP000797.3,False
AP000802.1,False
AP000808.1,False
AP000812.1,False
AP000813.1,False
AP000820.1,False
AP000821.2,False
AP000829.1,False
AP000842.1,False
AP000842.2,False
AP000842.3,False
AP000844.1,False
AP000844.2,False
AP000845.1,False
AP000851.1,False
AP000851.2,False
AP000857.2,False
AP000864.1,False
AP000866.1,False
AP000866.2,False
AP000866.5,False
AP000866.6,False
AP000867.5,False
AP000873.2,False
AP000873.3,False
AP000873.4,False
AP000879.1,False
AP000880.1,False
AP000892.1,False
AP000894.2,False
AP000894.3,False
AP000894.4,False
AP000897.1,False
AP000897.2,False
AP000904.1,False
AP000911.1,False
AP000911.2,False
AP000915.1,False
AP000915.2,False
AP000919.2,False
AP000919.3,False
AP000919.4,False
AP000926.2,False
AP000936.1,False
AP000936.4,False
AP000941.1,False
AP000942.2,False
AP000943.1,False
AP000943.2,False
AP000943.3,False
AP000944.1,False
AP000944.7,False
AP000959.1,False
AP000962.1,False
AP000962.2,False
AP000974.1,False
AP000977.1,False
AP000997.2,False
AP001001.1,False
AP001005.3,False
AP001007.1,False
AP001007.2,False
AP001010.1,False
AP001011.1,False
AP001020.1,False
AP001020.2,False
AP001020.3,False
AP001021.1,False
AP001025.1,False
AP001029.1,False
AP001029.2,False
AP001033.1,False
AP001033.2,False
AP001033.3,False
AP001037.1,False
AP001042.1,False
AP001043.1,False
AP001046.1,False
AP001046.5,False
AP001046.6,False
AP001053.1,False
AP001053.11,False
AP001055.6,False
AP001056.1,False
AP001056.2,False
AP001057.1,False
AP001058.3,False
AP001059.1,False
AP001059.2,False
AP001059.3,False
AP001059.5,False
AP001062.1,False
AP001062.2,False
AP001062.3,False
AP001062.7,False
AP001063.1,False
AP001065.1,False
AP001065.2,False
AP001065.3,False
AP001066.1,False
AP001085.1,False
AP001092.1,False
AP001094.1,False
AP001094.2,False
AP001094.3,False
AP001099.1,False
AP001107.1,False
AP001107.2,False
AP001107.3,False
AP001107.4,False
AP001107.5,False
AP001107.6,False
AP001107.7,False
AP001107.8,False
AP001107.9,False
AP001109.1,False
AP001116.1,False
AP001117.1,False
AP001150.1,False
AP001157.1,False
AP001160.1,False
AP001160.2,False
AP001160.3,False
AP001160.4,False
AP001172.1,False
AP001172.2,False
AP001178.2,False
AP001178.3,False
AP001180.1,False
AP001180.4,False
AP001189.1,False
AP001189.3,False
AP001189.4,False
AP001189.5,False
AP001189.6,False
AP001198.1,False
AP001207.3,False
AP001208.1,False
AP001257.1,False
AP001258.4,False
AP001266.1,False
AP001266.2,False
AP001267.1,False
AP001267.2,False
AP001267.3,False
AP001269.1,False
AP001269.2,False
AP001269.4,False
AP001318.1,False
AP001318.2,False
AP001330.1,False
AP001330.4,False
AP001330.5,False
AP001341.1,False
AP001347.1,False
AP001347.6,False
AP001350.1,False
AP001351.1,False
AP001360.1,False
AP001362.1,False
AP001363.1,False
AP001363.2,False
AP001372.1,False
AP001372.2,False
AP001372.3,False
AP001381.1,False
AP001412.1,False
AP001422.3,False
AP001429.1,False
AP001432.1,False
AP001432.14,False
AP001434.1,False
AP001434.2,False
AP001437.1,False
AP001437.2,False
AP001439.1,False
AP001439.2,False
AP001442.1,False
AP001453.1,False
AP001453.2,False
AP001453.3,False
AP001453.4,False
AP001462.1,False
AP001462.6,False
AP001464.1,False
AP001468.1,False
AP001469.1,False
AP001469.2,False
AP001469.3,False
AP001469.9,False
AP001471.1,False
AP001476.1,False
AP001476.2,False
AP001476.3,False
AP001496.1,False
AP001496.2,False
AP001505.1,False
AP001505.9,False
AP001527.1,False
AP001527.2,False
AP001528.1,False
AP001528.2,False
AP001542.3,False
AP001554.1,False
AP001574.1,False
AP001596.1,False
AP001596.2,False
AP001599.1,False
AP001604.1,False
AP001604.3,False
AP001605.1,False
AP001610.2,False
AP001610.3,False
AP001610.5,False
AP001610.9,False
AP001615.1,False
AP001619.1,False
AP001625.2,False
AP001625.3,False
AP001626.1,False
AP001626.2,False
AP001627.1,False
AP001628.1,False
AP001628.2,False
AP001631.2,False
AP001631.9,False
AP001636.3,False
AP001652.1,False
AP001767.3,False
AP001775.2,False
AP001781.1,False
AP001783.1,False
AP001790.1,False
AP001816.1,False
AP001825.1,False
AP001830.1,False
AP001830.2,False
AP001831.1,False
AP001885.2,False
AP001885.3,False
AP001893.1,False
AP001893.3,False
AP001922.1,False
AP001922.5,False
AP001961.1,False
AP001970.1,False
AP001972.1,False
AP001972.3,False
AP001972.4,False
AP001977.1,False
AP001978.1,False
AP001981.2,False
AP001992.2,False
AP001993.1,False
AP001994.2,False
AP001994.3,False
AP001999.1,False
AP002008.1,False
AP002026.1,False
AP002075.1,False
AP002336.1,False
AP002336.2,False
AP002336.3,False
AP002358.1,False
AP002360.1,False
AP002360.2,False
AP002360.3,False
AP002370.2,False
AP002381.2,False
AP002383.2,False
AP002387.2,False
AP002409.1,False
AP002433.1,False
AP002433.2,False
AP002439.1,False
AP002449.1,False
AP002478.1,False
AP002490.1,False
AP002495.1,False
AP002495.2,False
AP002498.1,False
AP002505.1,False
AP002505.3,False
AP002518.1,False
AP002518.2,False
AP002748.3,False
AP002748.4,False
AP002748.6,False
AP002754.1,False
AP002761.1,False
AP002761.2,False
AP002761.3,False
AP002761.4,False
AP002762.2,False
AP002762.3,False
AP002768.1,False
AP002770.1,False
AP002784.1,False
AP002802.1,False
AP002807.1,False
AP002812.2,False
AP002812.3,False
AP002812.5,False
AP002813.1,False
AP002815.1,False
AP002833.1,False
AP002833.2,False
AP002840.2,False
AP002851.1,False
AP002852.1,False
AP002856.2,False
AP002856.4,False
AP002884.1,False
AP002884.2,False
AP002884.3,False
AP002884.4,False
AP002892.1,False
AP002892.2,False
AP002893.1,False
AP002907.1,False
AP002954.1,False
AP002954.2,False
AP002954.3,False
AP002954.4,False
AP002957.1,False
AP002961.1,False
AP002982.2,False
AP002986.1,False
AP002989.1,False
AP002990.1,False
AP002992.1,False
AP002993.1,False
AP003025.1,False
AP003025.2,False
AP003027.1,False
AP003031.2,False
AP003032.1,False
AP003032.2,False
AP003049.2,False
AP003059.1,False
AP003059.2,False
AP003064.1,False
AP003064.2,False
AP003065.2,False
AP003066.1,False
AP003068.1,False
AP003068.2,False
AP003068.23,False
AP003068.9,False
AP003071.1,False
AP003071.2,False
AP003071.3,False
AP003071.4,False
AP003086.1,False
AP003086.2,False
AP003096.1,False
AP003108.1,False
AP003108.2,False
AP003110.1,False
AP003117.1,False
AP003119.1,False
AP003119.2,False
AP003119.3,False
AP003120.1,False
AP003121.1,False
AP003123.1,False
AP003128.1,False
AP003168.2,False
AP003170.3,False
AP003170.4,False
AP003174.1,False
AP003306.1,False
AP003306.2,False
AP003307.1,False
AP003327.2,False
AP003351.1,False
AP003352.1,False
AP003354.1,False
AP003354.2,False
AP003355.2,False
AP003390.1,False
AP003392.1,False
AP003392.3,False
AP003392.4,False
AP003392.5,False
AP003392.6,False
AP003393.1,False
AP003396.1,False
AP003396.5,False
AP003400.1,False
AP003419.16,False
AP003419.2,False
AP003419.3,False
AP003465.1,False
AP003467.1,False
AP003469.2,False
AP003469.3,False
AP003469.4,False
AP003472.1,False
AP003472.2,False
AP003481.1,False
AP003486.1,False
AP003498.1,False
AP003498.2,False
AP003500.1,False
AP003501.1,False
AP003501.2,False
AP003548.1,False
AP003550.1,False
AP003555.1,False
AP003555.2,False
AP003555.3,False
AP003557.1,False
AP003557.2,False
AP003559.1,False
AP003680.1,False
AP003692.1,False
AP003696.1,False
AP003716.1,False
AP003717.1,False
AP003717.4,False
AP003718.1,False
AP003721.1,False
AP003721.2,False
AP003721.3,False
AP003721.4,False
AP003733.1,False
AP003733.3,False
AP003774.1,False
AP003774.2,False
AP003774.3,False
AP003774.4,False
AP003774.6,False
AP003778.1,False
AP003783.1,False
AP003785.1,False
AP003900.1,False
AP003969.1,False
AP003973.2,False
AP004147.1,False
AP004247.2,False
AP004372.1,False
AP004550.1,False
AP004608.1,False
AP004609.1,False
AP004609.3,False
AP005019.1,False
AP005059.1,False
AP005059.2,False
AP005120.1,False
AP005121.1,False
AP005131.1,False
AP005131.2,False
AP005131.3,False
AP005131.4,False
AP005131.5,False
AP005131.6,False
AP005131.7,False
AP005136.3,False
AP005136.4,False
AP005137.2,False
AP005203.1,False
AP005205.2,False
AP005209.1,False
AP005210.1,False
AP005230.1,False
AP005233.1,False
AP005233.2,False
AP005242.1,False
AP005262.2,False
AP005264.1,False
AP005264.4,False
AP005271.1,False
AP005328.1,False
AP005329.1,False
AP005329.2,False
AP005329.3,False
AP005357.1,False
AP005380.1,False
AP005432.1,False
AP005432.2,False
AP005436.1,False
AP005436.2,False
AP005436.3,False
AP005482.1,False
AP005482.2,False
AP005482.3,False
AP005530.1,False
AP005530.2,False
AP005671.1,False
AP005717.1,False
AP005717.2,False
AP005899.1,False
AP005900.1,False
AP005901.5,False
AP006216.1,False
AP006216.10,False
AP006216.11,False
AP006216.3,False
AP006222.2,False
AP006248.4,False
AP006259.1,False
AP006284.1,False
AP006285.1,False
AP006285.2,False
AP006285.6,False
AP006287.2,False
AP006295.1,False
AP006333.1,False
AP006333.2,False
AP006545.1,False
AP006545.2,False
AP006545.3,False
AP006565.1,False
AP006621.1,False
AP006621.3,False
AP006621.4,False
AP006621.5,False
AP006621.8,False
AP006623.1,False
AP006748.1,False
AP007216.2,False
AP1AR,False
AP1B1,True
AP1G1,False
AP1G2,False
AP1M1,False
AP1M2,False
AP1S1,False
AP1S2,True
AP1S3,True
AP2A1,False
AP2A2,True
AP2B1,False
AP2M1,False
AP2S1,False
AP3B1,False
AP3B2,False
AP3D1,False
AP3M1,False
AP3M2,False
AP3S1,False
AP3S2,False
AP4B1,False
AP4B1-AS1,False
AP4E1,False
AP4M1,False
AP4S1,False
AP5B1,False
AP5M1,False
AP5S1,False
AP5Z1,False
APAF1,False
APBA1,False
APBA2,False
APBA3,False
APBB1,False
APBB1IP,True
APBB2,True
APBB3,False
APC,False
APC2,False
APCDD1,True
APCDD1L,False
APCDD1L-DT,False
APCS,False
APEH,False
APELA,False
APEX1,False
APEX2,False
APH1A,False
APH1B,False
API5,False
APIP,False
APITD1,False
APITD1-CORT,False
APLF,False
APLN,False
APLNR,True
APLP1,False
APLP2,False
APMAP,False
APOA1,True
APOA1-AS,False
APOA1BP,False
APOA2,False
APOA4,True
APOA5,False
APOB,True
APOBEC1,False
APOBEC2,False
APOBEC3A,False
APOBEC3B,False
APOBEC3B-AS1,False
APOBEC3C,False
APOBEC3D,False
APOBEC3F,False
APOBEC3G,False
APOBEC3H,False
APOBEC4,False
APOBR,False
APOC1,True
APOC2,True
APOC3,False
APOC4,False
APOC4-APOC2,False
APOD,True
APOE,True
APOF,False
APOH,False
APOL1,True
APOL2,False
APOL3,True
APOL4,False
APOL5,False
APOL6,False
APOLD1,True
APOM,False
APOO,False
APOOL,False
APOPT1,False
APP,True
APPBP2,False
APPL1,False
APPL2,False
APRT,False
APTR,False
APTX,False
AQP1,True
AQP10,False
AQP11,False
AQP12A,False
AQP12B,False
AQP2,False
AQP3,False
AQP4,False
AQP4-AS1,False
AQP5,False
AQP6,False
AQP7,False
AQP8,True
AQP9,False
AQPEP,False
AQR,False
AR,False
ARAF,False
ARAP1,False
ARAP1-AS1,False
ARAP1-AS2,False
ARAP2,True
ARAP3,True
ARC,False
ARCN1,False
AREG,True
AREGB,False
AREL1,False
ARF1,False
ARF3,False
ARF4,False
ARF4-AS1,False
ARF5,False
ARF6,False
ARFGAP1,False
ARFGAP2,False
ARFGAP3,False
ARFGEF1,False
ARFGEF2,False
ARFGEF3,False
ARFIP1,False
ARFIP2,False
ARFRP1,False
ARG1,True
ARG2,False
ARGFX,False
ARGLU1,False
ARHGAP1,False
ARHGAP10,True
ARHGAP11A,False
ARHGAP11B,False
ARHGAP12,False
ARHGAP15,True
ARHGAP17,False
ARHGAP18,True
ARHGAP19,False
ARHGAP19-SLIT1,False
ARHGAP20,False
ARHGAP21,False
ARHGAP22,False
ARHGAP23,False
ARHGAP24,True
ARHGAP25,False
ARHGAP26,True
ARHGAP26-AS1,False
ARHGAP26-IT1,False
ARHGAP27,True
ARHGAP28,False
ARHGAP29,True
ARHGAP29-AS1,False
ARHGAP30,True
ARHGAP31,True
ARHGAP31-AS1,False
ARHGAP32,False
ARHGAP33,False
ARHGAP35,False
ARHGAP36,False
ARHGAP39,False
ARHGAP4,False
ARHGAP40,False
ARHGAP42,True
ARHGAP44,True
ARHGAP45,False
ARHGAP5,False
ARHGAP5-AS1,False
ARHGAP6,False
ARHGAP8,False
ARHGAP9,False
ARHGDIA,False
ARHGDIB,True
ARHGDIG,False
ARHGEF1,False
ARHGEF10,False
ARHGEF10L,False
ARHGEF11,False
ARHGEF12,False
ARHGEF15,True
ARHGEF16,False
ARHGEF17,False
ARHGEF18,False
ARHGEF19,False
ARHGEF2,False
ARHGEF25,False
ARHGEF26,False
ARHGEF26-AS1,False
ARHGEF28,True
ARHGEF3,False
ARHGEF3-AS1,False
ARHGEF33,False
ARHGEF35,False
ARHGEF37,False
ARHGEF38,True
ARHGEF38-IT1,False
ARHGEF39,False
ARHGEF4,False
ARHGEF40,False
ARHGEF5,False
ARHGEF6,False
ARHGEF7,False
ARHGEF7-AS2,False
ARHGEF9,False
ARID1A,False
ARID1B,True
ARID2,False
ARID3A,False
ARID3B,False
ARID3C,False
ARID4A,False
ARID4B,False
ARID5A,True
ARID5B,True
ARIH1,False
ARIH2,False
ARIH2OS,False
ARL1,False
ARL10,False
ARL11,False
ARL13A,False
ARL13B,False
ARL14,True
ARL14EP,False
ARL14EPL,False
ARL15,True
ARL16,False
ARL17A,False
ARL17B,False
ARL2,False
ARL2-SNX15,False
ARL2BP,False
ARL3,False
ARL4A,True
ARL4C,True
ARL4D,False
ARL5A,False
ARL5B,True
ARL5B-AS1,False
ARL5C,False
ARL6,False
ARL6IP1,False
ARL6IP4,False
ARL6IP5,False
ARL6IP6,False
ARL8A,False
ARL8B,False
ARL9,False
ARLNC1,False
ARMC1,False
ARMC10,False
ARMC12,False
ARMC2,False
ARMC2-AS1,False
ARMC3,False
ARMC4,False
ARMC5,False
ARMC6,False
ARMC7,False
ARMC8,False
ARMC9,True
ARMCX1,False
ARMCX2,False
ARMCX3,False
ARMCX3-AS1,False
ARMCX4,False
ARMCX5,False
ARMCX5-GPRASP2,False
ARMCX6,False
ARMH1,False
ARMH2,False
ARMH3,False
ARMH4,False
ARMS2,False
ARMT1,False
ARNT,False
ARNT2,False
ARNTL,False
ARNTL2,False
ARNTL2-AS1,False
ARPC1A,False
ARPC1B,False
ARPC2,False
ARPC3,False
ARPC4,False
ARPC4-TTLL3,False
ARPC5,False
ARPC5L,False
ARPIN,False
ARPP19,False
ARPP21,False
ARR3,False
ARRB1,False
ARRB2,True
ARRDC1,False
ARRDC1-AS1,False
ARRDC2,False
ARRDC3,True
ARRDC3-AS1,False
ARRDC4,False
ARRDC5,False
ARSA,False
ARSB,False
ARSD,False
ARSD-AS1,False
ARSE,False
ARSF,False
ARSG,False
ARSH,False
ARSI,False
ARSJ,False
ARSK,False
ARSL,False
ART1,False
ART3,False
ART4,False
ART5,False
ARTN,False
ARV1,False
ARVCF,False
ARX,False
AS3MT,False
ASAH1,True
ASAH2,False
ASAH2B,False
ASAH2C,False
ASAP1,False
ASAP1-IT2,False
ASAP2,True
ASAP3,False
ASB1,False
ASB10,False
ASB11,False
ASB12,False
ASB13,False
ASB14,False
ASB15,False
ASB16,False
ASB16-AS1,False
ASB17,False
ASB18,False
ASB2,False
ASB3,False
ASB4,False
ASB5,False
ASB6,False
ASB7,False
ASB8,False
ASB9,False
ASCC1,False
ASCC2,False
ASCC3,False
ASCL1,False
ASCL2,False
ASCL3,False
ASCL4,False
ASCL5,False
ASDURF,False
ASF1A,False
ASF1B,False
ASGR1,False
ASGR2,False
ASH1L,True
ASH1L-AS1,False
ASH1L-IT1,False
ASH2L,False
ASIC1,False
ASIC2,False
ASIC3,False
ASIC4,False
ASIC5,False
ASIP,False
ASL,False
ASMT,False
ASMTL,False
ASMTL-AS1,False
ASNA1,False
ASNS,False
ASNSD1,False
ASPA,False
ASPDH,False
ASPG,False
ASPH,True
ASPHD1,False
ASPHD2,False
ASPM,False
ASPN,True
ASPRV1,False
ASPSCR1,False
ASRGL1,True
ASS1,True
ASTE1,False
ASTL,False
ASTN1,False
ASTN2,False
ASTN2-AS1,False
ASUN,False
ASXL1,False
ASXL2,False
ASXL3,False
ASZ1,False
ATAD1,False
ATAD2,False
ATAD2B,False
ATAD3A,False
ATAD3B,False
ATAD3C,False
ATAD5,False
ATAT1,False
ATCAY,False
ATE1,False
ATE1-AS1,False
ATF1,False
ATF2,False
ATF3,True
ATF4,False
ATF5,True
ATF6,False
ATF6B,False
ATF7,False
ATF7IP,False
ATF7IP2,True
ATG10,False
ATG101,False
ATG12,False
ATG13,False
ATG14,False
ATG16L1,False
ATG16L2,False
ATG2A,False
ATG2B,False
ATG3,False
ATG4A,False
ATG4B,False
ATG4C,False
ATG4D,False
ATG5,False
ATG7,False
ATG9A,False
ATG9B,False
ATHL1,False
ATIC,False
ATL1,False
ATL2,False
ATL3,False
ATM,True
ATMIN,False
ATN1,False
ATOH1,False
ATOH7,False
ATOH8,False
ATOX1,False
ATP10A,True
ATP10B,True
ATP10D,False
ATP11A,False
ATP11A-AS1,False
ATP11AUN,False
ATP11B,False
ATP11C,True
ATP12A,False
ATP13A1,False
ATP13A2,False
ATP13A3,True
ATP13A4,False
ATP13A4-AS1,False
ATP13A5,False
